"","cardId","name","cardSet","type","rarity","text","locale","playerClass","name.1","faction","health","collectible","img","imgGold","attack","race","cost","flavor","artist","howToGet","howToGetGold","inPlayText","durability","mechanics.name","mechanics.name.1","elite","mechanics.name.2","mechanics.name.3"
"31","HERO_08","Jaina Proudmoore","Basic","Hero","Free",NA,"enUS","Mage",NA,"Neutral",30,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_08.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_08_premium.gif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","GAME_001","Luck of the Coin","Basic","Enchantment","Free","Going second grants you increased Health.","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","HERO_06","Malfurion Stormrage","Basic","Hero","Free",NA,"enUS","Druid",NA,"Neutral",30,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_06.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_06_premium.gif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","CS2_009e","Mark of the Wild","Basic","Enchantment","Free","This minion has +2/+2 and <b>Taunt</b>.","enUS","Druid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","DS1_070o","Master's Presence","Basic","Enchantment","Free","+2/+2 and <b>Taunt</b>.","enUS","Hunter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","CS2_222o","Might of Stormwind","Basic","Enchantment","Free","Has +1/+1.","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","CS1_113e","Mind Control","Basic","Enchantment","Common","This minion has switched controllers.","enUS","Priest",NA,"Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","EX1_508o","Mlarggragllabl!","Basic","Enchantment","Free","This Murloc has +1 Attack.","enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","CS2_022e","Polymorph","Basic","Enchantment","Free","This minion has been transformed into a 1/1 Sheep.","enUS","Mage","Morph","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","CS2_004e","Power Word: Shield","Basic","Enchantment","Free","+2 Health.","enUS","Priest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","HERO_05","Rexxar","Basic","Hero","Free",NA,"enUS","Hunter",NA,"Neutral",30,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_05.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_05_premium.gif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","CS2_045e","Rockbiter Weapon","Basic","Enchantment","Free","This character has +3 Attack this turn.","enUS","Shaman","OneTurnEffect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","CS2_011o","Savage Roar","Basic","Enchantment","Free","+2 Attack this turn.","enUS","Druid","OneTurnEffect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","CS2_083e","Sharpened","Basic","Enchantment","Free","+1 Attack this turn.","enUS","Rogue","OneTurnEffect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CS2_tk1","Sheep","Basic","Minion","Free",NA,"enUS",NA,NA,"Neutral",1,NA,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_tk1.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_tk1_premium.gif",1,"Beast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","GAME_005","The Coin","Basic","Spell","Free","Gain 1 Mana Crystal this turn only.","enUS",NA,NA,NA,NA,NA,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/GAME_005.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/GAME_005_premium.gif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","GAME_005e","The Coin","Basic","Enchantment","Free",NA,"enUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","HERO_02","Thrall","Basic","Hero","Free",NA,"enUS","Shaman",NA,"Neutral",30,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_02.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_02_premium.gif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","EX1_244e","Totemic Might","Basic","Enchantment","Free","+2 Health.","enUS","Shaman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","HERO_04","Uther Lightbringer","Basic","Hero","Free",NA,"enUS","Paladin",NA,"Neutral",30,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_04.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_04_premium.gif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","HERO_03","Valeera Sanguinar","Basic","Hero","Free",NA,"enUS","Rogue",NA,"Neutral",30,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/HERO_03.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/HERO_03_premium.gif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","CS2_041","Ancestral Healing","Basic","Spell","Free","Restore a minion to full Health and give it <b>Taunt</b>.","enUS","Shaman",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_041.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_041_premium.gif",NA,NA,0,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.","Dan Scott","Unlocked at Level 1.","Unlocked at Level 15.",NA,NA,NA,NA,NA,NA,NA
"53","GAME_002","Avatar of the Coin","Basic","Minion","Free","<i>You lost the coin flip, but gained a friend.</i>","enUS",NA,NA,NA,1,NA,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/GAME_002.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/GAME_002_premium.gif",1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CS2_072","Backstab","Basic","Spell","Free","Deal $2 damage to an undamaged minion.","enUS","Rogue",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_072.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_072_premium.gif",NA,NA,0,"It's funny how often yelling ""Look over there!"" gets your opponent to turn around.","Michael Sutfin","Unlocked at Level 1.","Unlocked at Level 36.",NA,NA,NA,NA,NA,NA,NA
"55","CS2_013t","Excess Mana","Basic","Spell","Free","Draw a card. <i>(You can only have 10 Mana in your tray.)</i>","enUS","Druid",NA,NA,NA,NA,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_013t.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_013t_premium.gif",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","EX1_169","Innervate","Basic","Spell","Free","Gain 2 Mana Crystals this turn only.","enUS","Druid",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_169.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_169_premium.gif",NA,NA,0,"Some druids still have flashbacks from strangers yelling ""Innervate me!!"" at them.","Doug Alexander","Unlocked at Level 1.","Unlocked at Level 36.",NA,NA,NA,NA,NA,NA,NA
"57","CS2_mirror","Mirror Image","Basic","Minion","Free","<b>Taunt</b>","enUS","Mage","Taunt","Neutral",2,NA,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_mirror.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_mirror_premium.gif",0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","CS2_008","Moonfire","Basic","Spell","Free","Deal $1 damage.","enUS","Druid",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_008.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_008_premium.gif",NA,NA,0,"""Cast Moonfire, and never stop."" - How to Be a Druid, Chapter 5, Section 3","Richard Wright","Unlocked at Level 6.","Unlocked at Level 40.",NA,NA,NA,NA,NA,NA,NA
"59","EX1_506a","Murloc Scout","Basic","Minion","Free",NA,"enUS",NA,NA,"Neutral",1,NA,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_506a.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_506a_premium.gif",1,"Murloc",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","NEW1_003","Sacrificial Pact","Basic","Spell","Free","Destroy a Demon. Restore #5 Health to your hero.","enUS","Warlock",NA,NA,NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/NEW1_003.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/NEW1_003_premium.gif",NA,NA,0,"This is the reason that Demons never really become friends with Warlocks.","Jim Nelson","Unlocked at Level 8.","Unlocked at Level 15.",NA,NA,NA,NA,NA,NA,NA
"61","EX1_244","Totemic Might","Basic","Spell","Free","Give your Totems +2 Health.","enUS","Shaman",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_244.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_244_premium.gif",NA,NA,0,"Totem-stomping is no longer recommended.","Trent Kaniuga","Unlocked at Level 6.","Unlocked at Level 28.",NA,NA,NA,NA,NA,NA,NA
"62","EX1_277","Arcane Missiles","Basic","Spell","Free","Deal $3 damage randomly split among all enemies.","enUS","Mage","ImmuneToSpellpower","Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_277.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_277_premium.gif",NA,NA,1,"You'd think you'd be able to control your missiles a little better since you're a powerful mage and all.","Warren Mahy","Unlocked at Level 1.","Unlocked at Level 32.",NA,NA,NA,NA,NA,NA,NA
"63","DS1_185","Arcane Shot","Basic","Spell","Free","Deal $2 damage.","enUS","Hunter",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/DS1_185.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/DS1_185_premium.gif",NA,NA,1,"Magi conjured arcane arrows to sell to hunters, until hunters learned just enough magic to do it themselves.  The resulting loss of jobs sent Stormwind into a minor recession.","Luca Zontini","Unlocked at Level 1.","Unlocked at Level 32.",NA,NA,NA,NA,NA,NA,NA
"64","CS2_087","Blessing of Might","Basic","Spell","Free","Give a minion +3 Attack.","enUS","Paladin",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_087.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_087_premium.gif",NA,NA,1,"""As in, you MIGHT want to get out of my way."" - Toad Mackle, recently buffed.","Zoltan Boros","Unlocked at Level 1.","Unlocked at Level 45.",NA,NA,NA,NA,NA,NA,NA
"65","CS2_boar","Boar","Basic","Minion","Free",NA,"enUS",NA,NA,"Neutral",1,NA,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_boar.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_boar_premium.gif",1,"Beast",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CS2_005","Claw","Basic","Spell","Free","Give your hero +2 Attack this turn and 2 Armor.","enUS","Druid",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_005.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_005_premium.gif",NA,NA,1,"The claw decides who will stay and who will go.","Dany Orizio","Unlocked at Level 1.","Unlocked at Level 32.",NA,NA,NA,NA,NA,NA,NA
"67","CS2_063","Corruption","Basic","Spell","Free","Choose an enemy minion. At the start of your turn, destroy it.","enUS","Warlock",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_063.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_063_premium.gif",NA,NA,1,"It starts with stealing a pen from work, and before you know it, BOOM!  Corrupted!","Wayne Reynolds","Unlocked at Level 2.","Unlocked at Level 32.",NA,NA,NA,NA,NA,NA,NA
"68","CS2_074","Deadly Poison","Basic","Spell","Free","Give your weapon +2 Attack.","enUS","Rogue",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_074.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_074_premium.gif",NA,NA,1,"Rogues guard the secrets to poison-making carefully, lest magi start incorporating poison into their spells.  Poisonbolt? Rain of Poison?  Poison Elemental?  Nobody wants that.","Trevor Jacobs","Unlocked at Level 1.","Unlocked at Level 43.",NA,NA,NA,NA,NA,NA,NA
"69","CS2_189","Elven Archer","Basic","Minion","Free","<b>Battlecry:</b> Deal 1 damage.","enUS",NA,"Battlecry","Horde",1,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_189.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_189_premium.gif",1,NA,1,"Don't bother asking her out on a date.  She'll shoot you down.","Steve Prescott",NA,"Unlocked at Druid Level 57.",NA,NA,NA,NA,NA,NA,NA
"70","CS2_108","Execute","Basic","Spell","Free","Destroy a damaged enemy minion.","enUS","Warrior",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_108.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_108_premium.gif",NA,NA,1,"It's okay, he deserved it.","Dany Orizio","Unlocked at Level 1.","Unlocked at Level 47.",NA,NA,NA,NA,NA,NA,NA
"71","CS2_037","Frost Shock","Basic","Spell","Free","Deal $1 damage to an enemy character and <b>Freeze</b> it.","enUS","Shaman","Freeze","Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_037.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_037_premium.gif",NA,NA,1,"FROST SHOCK!","Alex Horley Orlandelli","Unlocked at Level 1.","Unlocked at Level 32.",NA,NA,NA,NA,NA,NA,NA
"72","CS1_042","Goldshire Footman","Basic","Minion","Free","<b>Taunt</b>","enUS",NA,"Taunt","Alliance",2,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS1_042.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS1_042_premium.gif",1,NA,1,"If 1/2 minions are all that is defending Goldshire, you would think it would have been overrun years ago.","Donato Giancola",NA,"Unlocked at Paladin Level 57.",NA,NA,NA,NA,NA,NA,NA
"73","EX1_508","Grimscale Oracle","Basic","Minion","Free","ALL other Murlocs have +1 Attack.","enUS",NA,NA,"Neutral",1,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_508.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_508_premium.gif",1,"Murloc",1,"These are the brainy murlocs.  It turns out that doesn’t mean much.","Phil Saunders",NA,"Unlocked at Warlock Level 53.","Argalagblbl",NA,NA,NA,NA,NA,NA
"74","EX1_371","Hand of Protection","Basic","Spell","Free","Give a minion <b>Divine Shield</b>.","enUS","Paladin",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_371.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_371_premium.gif",NA,NA,1,"This spell has been renamed so many times, even paladins don’t know what it should be called anymore.","Clint Langley","Unlocked at Level 1.","Unlocked at Level 23.",NA,NA,NA,NA,NA,NA,NA
"75","NEW1_009","Healing Totem","Basic","Minion","Free","At the end of your turn, restore 1 Health to all friendly minions.","enUS","Shaman",NA,NA,2,NA,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/NEW1_009.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/NEW1_009_premium.gif",0,"Totem",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","CS1_130","Holy Smite","Basic","Spell","Free","Deal $2 damage.","enUS","Priest",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS1_130.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS1_130_premium.gif",NA,NA,1,"It doesn't matter how pious you are.  Everyone needs a good smiting now and again.","Steve Ellis","Unlocked at Level 1.","Unlocked at Level 23.",NA,NA,NA,NA,NA,NA,NA
"77","EX1_360","Humility","Basic","Spell","Free","Change a minion's Attack to 1.","enUS","Paladin",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_360.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_360_premium.gif",NA,NA,1,"This card makes something really damp.  Oh wait.  That's ""Humidity.""","Daren Bader","Unlocked at Level 6.","Unlocked at Level 28.",NA,NA,NA,NA,NA,NA,NA
"78","CS2_084","Hunter's Mark","Basic","Spell","Free","Change a minion's Health to 1.","enUS","Hunter",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_084.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_084_premium.gif",NA,NA,1,"Never play 'Hide and Go Seek' with a Hunter.","Jimmy Lo","Unlocked at Level 6.","Unlocked at Level 40.",NA,NA,NA,NA,NA,NA,NA
"79","CS2_091","Light's Justice","Basic","Weapon","Free",NA,"enUS","Paladin",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_091.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_091_premium.gif",1,NA,1,"Prince Malchezaar was a collector of rare weapons. He'd animate them and have them dance for him.","Glenn Rane","Unlocked at Level 1.","Unlocked at Level 36.",NA,4,NA,NA,NA,NA,NA
"80","EX1_025t","Mechanical Dragonling","Basic","Minion","Free",NA,"enUS",NA,NA,"Neutral",1,NA,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_025t.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_025t_premium.gif",2,"Mech",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","CS2_003","Mind Vision","Basic","Spell","Free","Put a copy of a random card in your opponent's hand into your hand.","enUS","Priest",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_003.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_003_premium.gif",NA,NA,1,"I see what you did there.","Michael Komarck","Unlocked at Level 4.","Unlocked at Level 32.",NA,NA,NA,NA,NA,NA,NA
"82","CS2_027","Mirror Image","Basic","Spell","Free","Summon two 0/2 minions with <b>Taunt</b>.","enUS","Mage",NA,"Neutral",NA,TRUE,"http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_027.png","http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_027_premium.gif",NA,NA,1,"Oh hey it's Mirror Image! !egamI rorriM s'ti yeh hO","Jim Nelson","Unlocked at Level 4.","Unlocked at Level 36.",NA,NA,NA,NA,NA,NA,NA
